Article-1 	 2013-01-01 	 4956.8750613 
Article-2 	 2013-01-02 	 4958.8750613 
Article-3 	 2013-01-03 	 4960.8750613 
Article-4 	 2013-01-04 	 4962.8750613 
Article-5 	 2013-01-05 	 4964.8750613 
Article-6 	 2013-01-06 	 4966.8750613 
Article-7 	 2013-01-07 	 4968.8750613 
Article-8 	 2013-01-08 	 4969.8750613 
Article-9 	 2013-01-09 	 4971.8750613 
Article-10 	 2013-01-10 	 4973.8750613 
Article-11 	 2013-01-11 	 4975.8750613 
Article-12 	 2013-01-12 	 4977.8750613 
Article-13 	 2013-01-13 	 4979.8750613 
Article-14 	 2013-01-14 	 4981.8750613 
Article-15 	 2013-01-15 	 4983.8750613 
Article-16 	 2013-01-16 	 4985.8750613 
Article-17 	 2013-01-17 	 4987.8750613 
Article-18 	 2013-01-18 	 4989.8750613 
Article-19 	 2013-01-19 	 4991.8750613 
Article-20 	 2013-01-20 	 4992.8750613 
Article-21 	 2013-01-21 	 4994.8750613 
Article-22 	 2013-01-22 	 4996.8750613 
Article-23 	 2013-01-23 	 4998.8750613 
Article-24 	 2013-01-24 	 5000.8750613 
Article-25 	 2013-01-25 	 5002.8750613 
Article-26 	 2013-01-26 	 5004.8750613 
Article-27 	 2013-01-27 	 5006.8750613 
Article-28 	 2013-01-28 	 5008.8750613 
Article-29 	 2013-01-29 	 5010.8750613 
Article-30 	 2013-01-30 	 5012.8750613 
Article-31 	 2013-01-31 	 5014.8750613 
Article-32 	 2013-02-01 	 5016.8750613 
Article-33 	 2013-02-02 	 5017.8750613 
Article-34 	 2013-02-03 	 5019.8750613 
Article-35 	 2013-02-04 	 5021.8750613 
Article-36 	 2013-02-05 	 5023.8750613 
Article-37 	 2013-02-06 	 5025.8750613 
Article-38 	 2013-02-07 	 5027.8750613 
Article-39 	 2013-02-08 	 5029.8750613 
Article-40 	 2013-02-09 	 5031.8750613 
Article-41 	 2013-02-10 	 5033.8750613 
Article-42 	 2013-02-11 	 5035.8750613 
Article-43 	 2013-02-12 	 5037.8750613 
Article-44 	 2013-02-13 	 5039.8750613 
Article-45 	 2013-02-14 	 5040.8750613 
Article-46 	 2013-02-15 	 5042.8750613 
Article-47 	 2013-02-16 	 5044.8750613 
Article-48 	 2013-02-17 	 5046.8750613 
Article-49 	 2013-02-18 	 5048.8750613 
Article-50 	 2013-02-19 	 5050.8750613 
Article-51 	 2013-02-20 	 5052.8750613 
Article-52 	 2013-02-21 	 5054.8750613 
Article-53 	 2013-02-22 	 5056.8750613 
Article-54 	 2013-02-23 	 5058.8750613 
Article-55 	 2013-02-24 	 5060.8750613 
Article-56 	 2013-02-25 	 5062.8750613 
Article-57 	 2013-02-26 	 5064.8750613 
Article-58 	 2013-02-27 	 5065.8750613 
Article-59 	 2013-02-28 	 5067.8750613 
Article-60 	 2013-03-01 	 5069.8750613 
Article-61 	 2013-03-02 	 5071.8750613 
Article-62 	 2013-03-03 	 5073.8750613 
Article-63 	 2013-03-04 	 5075.8750613 
Article-64 	 2013-03-05 	 5077.8750613 
Article-65 	 2013-03-06 	 5079.8750613 
Article-66 	 2013-03-07 	 5081.8750613 
Article-67 	 2013-03-08 	 5083.8750613 
Article-68 	 2013-03-09 	 5085.8750613 
Article-69 	 2013-03-10 	 5087.8750613 
Article-70 	 2013-03-11 	 5088.8750613 
Article-71 	 2013-03-12 	 5090.8750613 
Article-72 	 2013-03-13 	 5092.8750613 
Article-73 	 2013-03-14 	 5094.8750613 
Article-74 	 2013-03-15 	 5096.8750613 
Article-75 	 2013-03-16 	 5098.8750613 
Article-76 	 2013-03-17 	 5100.8750613 
Article-77 	 2013-03-18 	 5102.8750613 
Article-78 	 2013-03-19 	 5104.8750613 
Article-79 	 2013-03-20 	 5106.8750613 
Article-80 	 2013-03-21 	 5108.8750613 
Article-81 	 2013-03-22 	 5110.8750613 
Article-82 	 2013-03-23 	 5112.8750613 
Article-83 	 2013-03-24 	 5113.8750613 
Article-84 	 2013-03-25 	 5115.8750613 
Article-85 	 2013-03-26 	 5117.8750613 
Article-86 	 2013-03-27 	 5119.8750613 
Article-87 	 2013-03-28 	 5121.8750613 
Article-88 	 2013-03-29 	 5123.8750613 
Article-89 	 2013-03-30 	 5125.8750613 
Article-90 	 2013-03-31 	 5127.8750613 
Article-91 	 2013-04-01 	 5129.8750613 
Article-92 	 2013-04-02 	 5131.8750613 
Article-93 	 2013-04-03 	 5133.8750613 
Article-94 	 2013-04-04 	 5135.8750613 
Article-95 	 2013-04-05 	 5136.8750613 
Article-96 	 2013-04-06 	 5138.8750613 
Article-97 	 2013-04-07 	 5140.8750613 
Article-98 	 2013-04-08 	 5142.8750613 
Article-99 	 2013-04-09 	 5144.8750613 
Article-100 	 2013-04-10 	 5146.8750613 
Article-101 	 2013-04-11 	 5148.8750613 
Article-102 	 2013-04-12 	 5150.8750613 
Article-103 	 2013-04-13 	 5152.8750613 
Article-104 	 2013-04-14 	 5154.8750613 
Article-105 	 2013-04-15 	 5156.8750613 
Article-106 	 2013-04-16 	 5158.8750613 
Article-107 	 2013-04-17 	 5160.8750613 
Article-108 	 2013-04-18 	 5161.8750613 
Article-109 	 2013-04-19 	 5163.8750613 
Article-110 	 2013-04-20 	 5165.8750613 
Article-111 	 2013-04-21 	 5167.8750613 
Article-112 	 2013-04-22 	 5169.8750613 
Article-113 	 2013-04-23 	 5171.8750613 
Article-114 	 2013-04-24 	 5173.8750613 
Article-115 	 2013-04-25 	 5175.8750613 
Article-116 	 2013-04-26 	 5177.8750613 
Article-117 	 2013-04-27 	 5179.8750613 
Article-118 	 2013-04-28 	 5181.8750613 
Article-119 	 2013-04-29 	 5183.8750613 
Article-120 	 2013-04-30 	 5184.8750613 
Article-121 	 2013-05-01 	 5186.8750613 
Article-122 	 2013-05-02 	 5188.8750613 
Article-123 	 2013-05-03 	 5190.8750613 
Article-124 	 2013-05-04 	 5192.8750613 
Article-125 	 2013-05-05 	 5194.8750613 
Article-126 	 2013-05-06 	 5196.8750613 
Article-127 	 2013-05-07 	 5198.8750613 
Article-128 	 2013-05-08 	 5200.8750613 
Article-129 	 2013-05-09 	 5202.8750613 
Article-130 	 2013-05-10 	 5204.8750613 
Article-131 	 2013-05-11 	 5206.8750613 
Article-132 	 2013-05-12 	 5208.8750613 
Article-133 	 2013-05-13 	 5209.8750613 
Article-134 	 2013-05-14 	 5211.8750613 
Article-135 	 2013-05-15 	 5213.8750613 
Article-136 	 2013-05-16 	 5215.8750613 
Article-137 	 2013-05-17 	 5217.8750613 
Article-138 	 2013-05-18 	 5219.8750613 
Article-139 	 2013-05-19 	 5221.8750613 
Article-140 	 2013-05-20 	 5223.8750613 
Article-141 	 2013-05-21 	 5225.8750613 
Article-142 	 2013-05-22 	 5227.8750613 
Article-143 	 2013-05-23 	 5229.8750613 
Article-144 	 2013-05-24 	 5231.8750613 
Article-145 	 2013-05-25 	 5232.8750613 
Article-146 	 2013-05-26 	 5234.8750613 
Article-147 	 2013-05-27 	 5236.8750613 
Article-148 	 2013-05-28 	 5238.8750613 
Article-149 	 2013-05-29 	 5240.8750613 
Article-150 	 2013-05-30 	 5242.8750613 
Article-151 	 2013-05-31 	 5244.8750613 
Article-152 	 2013-06-01 	 5246.8750613 
Article-153 	 2013-06-02 	 5248.8750613 
Article-154 	 2013-06-03 	 5250.8750613 
Article-155 	 2013-06-04 	 5252.8750613 
Article-156 	 2013-06-05 	 5254.8750613 
Article-157 	 2013-06-06 	 5256.8750613 
Article-158 	 2013-06-07 	 5257.8750613 
Article-159 	 2013-06-08 	 5259.8750613 
Article-160 	 2013-06-09 	 5261.8750613 
Article-161 	 2013-06-10 	 5263.8750613 
Article-162 	 2013-06-11 	 5265.8750613 
Article-163 	 2013-06-12 	 5267.8750613 
Article-164 	 2013-06-13 	 5269.8750613 
Article-165 	 2013-06-14 	 5271.8750613 
Article-166 	 2013-06-15 	 5273.8750613 
Article-167 	 2013-06-16 	 5275.8750613 
Article-168 	 2013-06-17 	 5277.8750613 
Article-169 	 2013-06-18 	 5279.8750613 
Article-170 	 2013-06-19 	 5280.8750613 
